wallet,credit_score
0x84e2c0837d761ef6078b9dbf3839e108155d84f2,0.0
0x7f7bbb19026b5eca0b6cdb96caa84923716532a5,0.0
0x7aa50cb10a59dc1d5be57b3a4010d253811d0ea2,0.0
0xf007d777a761fb94f29193e902fca80181c8b009,0.0
0xbb01bfa9171ca3f3acf86393bf51e871812d1684,0.0
0x1f72aeb2407ab1832ede569b8aa49866aafa0f10,0.0
0x9c483fa4d84a218940bfa02652fcaf01ee8f44f2,0.0
0x7f3bd73c598b5956440089fda4e99c950feb6a83,0.0
0xa3e5e60b6d5f23aebc91a062b96ea3cad1a341f0,0.0
0x4303c46c71f6e48eaa96ab3f194b79fac082e46a,0.0
0x965cf7e7d50b6f38378d8e4e712f1e796c0b9d9c,0.0
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,0.0
0xb8270b5ba91cb365d51855a968a9a8f829a0e855,0.0
0x33a3433830f11ce43eb5a1c2a3281d6af9a3e772,0.0
0x411c91abf1133ed9cab8b92d6768eb34aa53faa3,0.0
0xb82ee473459ee0628642950a14a22e49b50c9845,0.0
0x233355adc8c4526a0262916c238a9d3082a8c13a,0.0
0xbc8744370bcb6d5abf5de8b4086ecfbb4c5629c3,0.0
0x657e21723ae99c05c9c2a6032343c7865bcb1940,0.0
0x2178e1d614fefb2b304db58f07116d89f948fda1,0.0
0x8563762fb9299526b7913cbaa96bd049862eb948,543.82
0x171c53d55b1bcb725f660677d9e8bad7fd084282,0.0
0x7c1c1ce7e7bee3e9928ff014e6b2db0fb4bf39b0,0.0
0x8f02a8ecd8734381795ff251360dbf1730cb46e6,1000.0
0x11fc1e54649e91efdeebc6a0bc88c37fa8ebbfec,0.0
0xd6c1da57c7483cb87f69b72530646b178cf14a98,0.0
0xe0d11bee20b55e6eab86de694f9d8bb2022457c4,0.0
0xade24c128a7502f99a2786f3e18c67b0c6f15739,0.0
0xafd306005f5d1a8537be4960e6d23907b5b9383f,0.0
0x03d3b6925947d6d3f3523ea3aacef7c96322efcf,0.0
0x56aa33f20e25baa99e916c91abb4f59ae72491e0,0.0
0xb48e3319e37de2cad97ee3265546adbd12a3d0c0,0.0
0xe4fd8213711f18fad8a97a1db45436abd8a2902c,1000.0
0x593f7246c38a6f1ad34add932d6274b846f367e6,0.0
0xa2b66d6531ff35a949eafd9813fed67a009b846b,0.0
0x11be399af186362ad1a83c6888c4d144822dd046,0.0
0x7fcee51056e18063e188fc27713570fd3bccd5ea,0.0
0x6cc510139f38ddbd00695a46e9de33d27fb1a9f6,0.0
0x3b0c24a91775f079e28a152ee6e141590b9c37d3,0.0
0xcc0d65e83eb589875c8dbe279809a47dd1c32859,0.0
0x863800f11dc57184de2106693bc5e11868ed666c,0.0
0x234b51e8f9f816255ae1d310f79d632e7d4fea5d,0.0
0x3a32672e92b84b1dbffd547dc9fdde14d17a6796,0.0
0x3c9ea5c4fec2a77e23dd82539f4414266fe8f757,1000.0
0x84d16dbb3c223831e591e1cf9bcaab4eda42fdf3,0.0
0xc451370f607e53e53b82f4f40ee579963b9a8c4f,0.0
0x158a4cf04d9d342200e44bbf39bd1bbe1e6bbab3,0.0
0x5889d3094799dcc8d22869d3ecc1d78753b1be4f,0.0
0x20172ec3d9cb14cb555aa5b612e50d30b97485dd,597.92
0x04660e0e4f9b7b5aa5ee2427a023c8dcb4859923,0.0
0x2ac354af492d1f32cb3a39e41ab4f76b4b7edc2c,0.0
0xd8f99930426bfd583cb7a594ebe10d07ff8ff527,0.0
0xa8b77e916aa5f4ddf96f25f7d0725f8a8240971b,0.0
0x6851630f97537ab4c8d017a9dd89e59ff9e18872,0.0
0xab3edb914992ce523f2ee3ac6a4f199c1f925b13,0.0
0x0d8e060ca2d847553ec14394ee6b304623e0d1d6,0.0
0x3baa2b3f8593234470201d1f41c09e950a7c40dd,0.0
0xc42e70375e1435d54894989c7c7e9886f2facfb1,0.0
0xd940072500f52a6a6f372de8eb84617af4a26681,0.0
0x68f5aa7e730d624a8bd17689fa088e88507c615c,0.0
0x0bedc3bf8a1da3f18b3617d91766ee5a461f4d0f,0.0
0x0cc5a715b06c8ece9f2fa49cdc75750539255779,0.0
0xcd097d446ad68520c93cc347249fb3d0e481f644,0.0
0x7ad38e3d81122b049d550bea1a5af54685ea04ad,1000.0
0xdb09782a7a3bc41b3dd1b9b0c31d141dcfa44ab1,0.0
0x34672d3b452885a697d11d0fe147e05ded40797e,0.0
0x4f2083f5fbede34c2714affb3105539775f7fe64,0.0
0xe7f525dd1bc6d748ae4d7f21d31e54741e05e110,1000.0
0x21c9474156e830c30709e300911db6be509559c4,0.0
0x699494c9395cfa554acfda910e337de5419a4ac9,0.0
0xc72d57b880a988d120141f09328f7daef527a8b0,0.0
0xe67112647b7aea8b7490f27e1c75208868138df2,0.0
0x60af6197d08dea71a22581f13b72018b8c2671a7,0.0
0x54471b00af9b43b7245261422a97938c92c296e4,0.0
0x2f6dfd29cecb8114ae5915d13ad14bc782af1d71,0.0
0xe6395145c839dac68d4f4c006101f88614d359f0,0.0
0x3b92cda357f226a8a4879106c166879f2f0fb173,0.0
0xb14248cbe80a3df06526f1b57b996368791abe78,0.0
0x8697b83daa544e55a568163af14666f7383d993b,0.0
0x10fb0bbece3c5b893563bcb8850403eacaeae30c,0.0
0xd5c2753af98bd4c44885a69bc171c65d3fa4f17c,0.0
0xabd77ef8d594bd76ec656caf3442650e7883e59c,0.0
0x3bb5c8a00190da68059f0f66c24794584eb10d07,0.0
0xd4ca789f73d87aaf87d31b558ec7f1e159849ed6,0.0
0x8966c7077b75e199d2721ed90c4106c55997fc4b,0.0
0xabfedf8bace3ec43051826315c6b65e3d8153b84,0.0
